Player,Team,Position,Age,Date of Birth,Birth Country,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
Filip Forsberg,NSH,L,29,1994-08-13,SWE,73,205,2012,WSH,1,11,11
Radek Faksa,DAL,C,30,1994-01-09,CZE,75,225,2012,DAL,1,13,13
Matt Grzelcyk,BOS,D,30,1994-01-05,USA,70,176,2012,BOS,3,24,85
Colton Parayko,STL,D,30,1993-05-12,CAN,78,228,2012,STL,3,25,86
Oskar Sundqvist,"DET, STL",C,30,1994-03-23,SWE,75,220,2012,PIT,3,20,81
Esa Lindell,DAL,D,29,1994-05-23,FIN,75,220,2012,DAL,3,13,74
Chandler Stephenson,VGK,C,29,1994-04-22,CAN,72,209,2012,WSH,3,16,77
Shayne Gostisbehere,ARI,D,30,1993-04-20,USA,71,180,2012,PHI,3,17,78
Mackenzie MacEachern,STL,L,30,1994-03-09,USA,74,193,2012,STL,3,6,67
Devin Shore,EDM,C,29,1994-07-19,CAN,73,206,2012,DAL,2,31,61
Jujhar Khaira,CHI,L,29,1994-08-13,CAN,76,212,2012,EDM,3,2,63
Adam Pelech,NYI,D,29,1994-08-16,CAN,75,210,2012,NYI,3,4,65
Jimmy Vesey,N.J,L,30,1993-05-26,USA,75,202,2012,NSH,3,5,66
Chris Tierney,OTT,C,29,1994-07-01,CAN,73,191,2012,S.J,2,25,55
Jordan Martinook,CAR,L,31,1992-07-25,CAN,72,196,2012,PHX,2,28,58
Damon Severson,N.J,D,29,1994-08-07,CAN,74,205,2012,N.J,2,30,60
Martin Frk,L.A,R,30,1993-10-05,CZE,73,210,2012,DET,2,19,49
Colton Sissons,NSH,C,30,1993-11-05,CAN,73,200,2012,NSH,2,20,50
Teddy Blueger,PIT,C,29,1994-08-15,LVA,72,185,2012,PIT,2,22,52
Jake McCabe,CHI,D,30,1993-10-12,USA,73,204,2012,BUF,2,14,44
Brock McGinn,PIT,L,30,1994-02-02,CAN,72,187,2012,CAR,2,17,47
Dominic Toninato,WPG,C,30,1994-03-09,USA,74,191,2012,TOR,5,5,126
Jaccob Slavin,CAR,D,29,1994-05-01,USA,75,207,2012,CAR,4,29,120
Andreas Athanasiou,L.A,C,29,1994-08-06,CAN,74,190,2012,DET,4,19,110
Gemel Smith,DET,C,29,1994-04-16,CAN,70,203,2012,DAL,4,13,104
Brett Kulak,"EDM, MTL",D,30,1994-01-06,CAN,73,197,2012,CGY,4,14,105
Cedric Paquette,MTL,C,30,1993-08-13,CAN,72,205,2012,T.B,4,10,101
Erik Gustafsson,CHI,D,32,1992-03-14,SWE,72,197,2012,EDM,4,2,93
Josh Anderson,MTL,R,29,1994-05-07,CAN,75,218,2012,CBJ,4,4,95
Danny O'Regan,ANA,C,30,1994-01-30,DEU,70,180,2012,S.J,5,17,138
Paul LaDue,NYI,D,31,1992-09-06,USA,75,205,2012,L.A,6,30,181
Matthew Benning,NSH,D,29,1994-05-25,CAN,73,203,2012,BOS,6,24,175
Petteri Lindbohm,FLA,D,30,1993-09-23,FIN,75,198,2012,STL,6,25,176
Vinnie Hinostroza,BUF,C,29,1994-04-03,USA,70,183,2012,CHI,6,18,169
Riley Barber,DET,R,30,1994-02-07,USA,72,199,2012,WSH,6,16,167
Connor Brown,OTT,R,30,1994-01-14,CAN,72,181,2012,TOR,6,5,156
Ben Hutton,VGK,D,30,1993-04-20,CAN,75,201,2012,VAN,5,26,147
Alexander Kerfoot,TOR,C,29,1994-08-11,CAN,71,186,2012,N.J,5,29,150
Jaycob Megna,S.J,D,31,1992-12-10,USA,78,220,2012,ANA,7,29,210
Liam O'Brien,ARI,C,29,1994-07-29,CAN,73,213,-,-,-,-,-
Kurtis MacDermid,COL,D,29,1994-03-25,CAN,77,233,-,-,-,-,-
Jayson Megna,COL,C,34,1990-02-01,USA,73,195,-,-,-,-,-
Scott Sabourin,OTT,R,31,1992-07-30,CAN,75,208,-,-,-,-,-
Andrej Sustr,"ANA, T.B",D,33,1990-11-29,CZE,79,217,-,-,-,-,-
Buddy Robinson,ANA,R,32,1991-09-30,USA,78,232,-,-,-,-,-
Danny DeKeyser,DET,D,34,1990-03-07,USA,75,183,-,-,-,-,-
Nate Schmidt,WPG,D,32,1991-07-16,USA,72,195,-,-,-,-,-
Carter Rowney,DET,C,34,1989-05-10,CAN,74,208,-,-,-,-,-
Chad Ruhwedel,PIT,D,33,1990-05-07,USA,71,191,-,-,-,-,-
Michael Raffl,DAL,L,35,1988-12-01,AUT,73,205,-,-,-,-,-
Anton Blidh,BOS,L,29,1995-03-14,SWE,73,197,2013,BOS,6,29,180
Dominik Kubalik,CHI,L,28,1995-08-21,CZE,74,190,2013,L.A,7,10,191
Kyle Burroughs,VAN,D,28,1995-07-12,CAN,72,193,2013,NYI,7,15,196
Andreas Johnsson,N.J,L,29,1994-11-21,SWE,70,195,2013,TOR,7,21,202
Tyler Lewington,BOS,D,29,1994-12-05,CAN,74,195,2013,WSH,7,23,204
MacKenzie Weegar,FLA,D,30,1994-01-07,CAN,72,206,2013,FLA,7,25,206
Tyler Motte,"NYR, VAN",C,29,1995-03-10,USA,70,192,2013,CHI,4,30,121
Will Butcher,BUF,D,29,1995-01-06,USA,70,195,2013,COL,5,2,123
Tucker Poolman,VAN,D,30,1993-06-08,USA,74,199,2013,WPG,5,6,127
Connor Clifton,BOS,D,28,1995-04-28,USA,71,190,2013,PHX,5,12,133
Carson Soucy,SEA,D,29,1994-07-27,CAN,77,208,2013,MIN,5,16,137
Jonny Brodzinski,NYR,C,30,1993-06-19,USA,72,212,2013,L.A,5,27,148
Josh Brown,"BOS, OTT",D,30,1994-01-21,CAN,77,220,2013,FLA,6,1,152
Hudson Fasching,ARI,R,28,1995-07-28,USA,75,204,2013,L.A,4,27,118
John Hayden,BUF,C,29,1995-02-14,USA,75,223,2013,CHI,3,13,74
Pavel Buchnevich,STL,L,28,1995-04-17,RUS,73,196,2013,NYR,3,14,75
Jake Guentzel,PIT,L,29,1994-10-06,USA,71,180,2013,PIT,3,16,77
Mattias Janmark,VGK,C,31,1992-12-08,SWE,73,205,2013,DET,3,18,79
Anthony Duclair,FLA,L,28,1995-08-26,CAN,71,197,2013,NYR,3,19,80
Carter Verhaeghe,FLA,C,28,1995-08-14,CAN,74,180,2013,TOR,3,21,82
Oliver Bjorkstrand,CBJ,R,28,1995-04-10,DNK,72,175,2013,CBJ,3,28,89
Mason Geertsen,N.J,D,28,1995-04-19,CAN,76,227,2013,COL,4,2,93
Miles Wood,N.J,L,28,1995-09-13,USA,74,195,2013,N.J,4,9,100
Nicholas Paul,"OTT, T.B",L,29,1995-03-20,CAN,75,223,2013,DAL,4,10,101
Andrew Copp,"NYR, WPG",C,29,1994-07-08,USA,73,199,2013,WPG,4,13,104
Ben Harpur,NSH,D,29,1995-01-12,CAN,78,231,2013,OTT,4,17,108
Ryan Graves,N.J,D,28,1995-05-21,CAN,77,220,2013,NYR,4,19,110
Andre Burakovsky,COL,L,29,1995-02-09,AUT,75,209,2013,WSH,1,23,23
Michael McCarron,NSH,R,29,1995-03-07,USA,78,232,2013,MTL,1,25,25
Shea Theodore,VGK,D,28,1995-08-03,CAN,74,197,2013,ANA,1,26,26
Jason Dickinson,VAN,C,28,1995-07-04,CAN,74,200,2013,DAL,1,29,29
Ryan Hartman,MIN,R,29,1994-09-20,USA,72,197,2013,CHI,1,30,30
Adam Erne,DET,L,28,1995-04-20,USA,73,212,2013,T.B,2,3,33
J.T. Compher,COL,L,28,1995-04-08,USA,72,190,2013,BUF,2,5,35
Laurent Dauphin,MTL,C,28,1995-03-27,CAN,72,186,2013,PHX,2,9,39
Remi Elie,T.B,L,28,1995-04-16,CAN,73,215,2013,DAL,2,10,40
Robert Hagg,"BUF, FLA",D,29,1995-02-08,SWE,74,210,2013,PHI,2,11,41
Nic Petan,VAN,C,29,1995-03-22,CAN,69,175,2013,WPG,2,13,43
Dillon Heatherington,OTT,D,28,1995-05-09,CAN,76,215,2013,CBJ,2,20,50
Carl Dahlstrom,TOR,D,29,1995-01-28,SWE,76,231,2013,CHI,2,21,51
Justin Bailey,VAN,R,28,1995-07-01,USA,76,214,2013,BUF,2,22,52
Madison Bowey,VAN,D,28,1995-04-22,CAN,73,207,2013,WSH,2,23,53
Artturi Lehkonen,"COL, MTL",L,28,1995-07-04,FIN,71,179,2013,MTL,2,25,55
William Carrier,VGK,L,29,1994-12-20,CAN,74,218,2013,STL,2,27,57
Tyler Bertuzzi,DET,L,29,1995-02-24,CAN,73,186,2013,DET,2,28,58
Zach Sanford,"OTT, WPG",L,29,1994-11-09,USA,76,206,2013,WSH,2,31,61
Brett Pesce,CAR,D,29,1994-11-15,USA,75,206,2013,CAR,3,5,66
Nathan MacKinnon,COL,C,28,1995-09-01,CAN,72,200,2013,COL,1,1,1
Aleksander Barkov,FLA,C,28,1995-09-02,FIN,75,215,2013,FLA,1,2,2
Jonathan Drouin,MTL,L,28,1995-03-28,CAN,71,198,2013,T.B,1,3,3
Seth Jones,CHI,D,29,1994-10-03,USA,76,213,2013,NSH,1,4,4
Elias Lindholm,CGY,C,29,1994-12-02,SWE,73,202,2013,CAR,1,5,5
Sean Monahan,CGY,C,29,1994-10-12,CAN,74,196,2013,CGY,1,6,6
Darnell Nurse,EDM,D,29,1995-02-04,CAN,76,221,2013,EDM,1,7,7
Rasmus Ristolainen,PHI,D,29,1994-10-27,FIN,76,221,2013,BUF,1,8,8
Bo Horvat,VAN,C,28,1995-04-05,CAN,72,215,2013,VAN,1,9,9
Valeri Nichushkin,COL,R,29,1995-03-04,RUS,76,210,2013,DAL,1,10,10
Max Domi,"CAR, CBJ",C,29,1995-03-02,CAN,70,194,2013,PHX,1,12,12
Josh Morrissey,WPG,D,28,1995-03-28,CAN,72,185,2013,WPG,1,13,13
Alex Wennberg,SEA,C,29,1994-09-22,SWE,74,190,2013,CBJ,1,14,14
Ryan Pulock,NYI,D,29,1994-10-06,CAN,74,216,2013,NYI,1,15,15
Nikita Zadorov,CGY,D,28,1995-04-16,RUS,78,248,2013,BUF,1,16,16
Curtis Lazar,BOS,C,29,1995-02-02,CAN,72,203,2013,OTT,1,17,17
Anthony Mantha,WSH,R,29,1994-09-16,CAN,77,234,2013,DET,1,20,20
Frederik Gauthier,N.J,C,28,1995-04-26,CAN,77,239,2013,TOR,1,21,21
Ross Johnston,NYI,L,30,1994-02-18,CAN,77,230,-,-,-,-,-
Dakota Mermis,MIN,D,30,1994-01-05,USA,72,195,-,-,-,-,-
Nathan Walker,STL,L,30,1994-02-07,GBR,69,187,2014,WSH,3,29,89
Brandon Baddock,MTL,L,28,1995-03-29,CAN,75,218,2014,N.J,6,11,161
Joel Hanley,DAL,D,32,1991-06-08,CAN,71,190,-,-,-,-,-
Conor Sheary,WSH,L,31,1992-06-08,USA,69,179,-,-,-,-,-
Trevor van Riemsdyk,WSH,D,32,1991-07-24,USA,75,191,-,-,-,-,-
Ryan Carpenter,"CGY, CHI",C,33,1991-01-18,USA,73,198,-,-,-,-,-
Jordan Oesterle,DET,D,31,1992-06-25,USA,72,187,-,-,-,-,-
Patrick Brown,PHI,C,31,1992-05-29,USA,73,210,-,-,-,-,-
Garnet Hathaway,WSH,R,32,1991-11-23,USA,75,208,-,-,-,-,-
Frederick Gaudreau,MIN,C,30,1993-05-01,CAN,72,184,-,-,-,-,-
Pierre-Edouard Bellemare,T.B,L,39,1985-03-06,FRA,71,198,-,-,-,-,-
Tomas Nosek,BOS,L,31,1992-09-01,CZE,75,205,-,-,-,-,-
Aaron Ekblad,FLA,D,28,1996-02-07,CAN,76,215,2014,FLA,1,1,1
Sam Reinhart,FLA,C,28,1995-11-06,CAN,74,193,2014,BUF,1,2,2
Leon Draisaitl,EDM,C,28,1995-10-27,DEU,74,208,2014,EDM,1,3,3
Sam Bennett,FLA,C,27,1996-06-20,CAN,73,195,2014,CGY,1,4,4
Michael Dal Colle,NYI,L,27,1996-06-20,CAN,75,195,2014,NYI,1,5,5
Haydn Fleury,SEA,D,27,1996-07-08,CAN,76,208,2014,CAR,1,7,7
William Nylander,TOR,"C, R",27,1996-05-01,CAN,72,204,2014,TOR,1,8,8
Nikolaj Ehlers,WPG,L,28,1996-02-14,DNK,72,169,2014,WPG,1,9,9
Nick Ritchie,"ARI, TOR",L,28,1995-12-05,CAN,75,236,2014,ANA,1,10,10
Kevin Fiala,MIN,L,27,1996-07-22,CHE,70,204,2014,NSH,1,11,11
Brendan Perlini,EDM,L,27,1996-04-27,GBR,75,211,2014,ARI,1,12,12
Jakub Vrana,DET,L,28,1996-02-28,CZE,72,190,2014,WSH,1,13,13
Dylan Larkin,DET,C,27,1996-07-30,USA,73,198,2014,DET,1,15,15
Sonny Milano,ANA,L,27,1996-05-12,USA,72,194,2014,CBJ,1,16,16
Travis Sanheim,PHI,D,27,1996-03-29,CAN,75,181,2014,PHI,1,17,17
Alex Tuch,BUF,R,27,1996-05-10,USA,76,219,2014,MIN,1,18,18
Tony DeAngelo,CAR,D,28,1995-10-24,USA,71,180,2014,T.B,1,19,19
Nick Schmaltz,ARI,C,28,1996-02-23,USA,72,181,2014,CHI,1,20,20
Robby Fabbri,DET,C,28,1996-01-22,CAN,71,185,2014,STL,1,21,21
Kasperi Kapanen,PIT,R,27,1996-07-23,FIN,73,194,2014,PIT,1,22,22
Jared McCann,SEA,"C, L",27,1996-05-31,CAN,73,191,2014,VAN,1,24,24
David Pastrnak,BOS,R,27,1996-05-25,CZE,73,195,2014,BOS,1,25,25
Adrian Kempe,L.A,"C, L",27,1996-09-13,SWE,74,200,2014,L.A,1,29,29
Brendan Lemieux,L.A,L,28,1996-03-15,USA,73,215,2014,BUF,2,1,31
Ivan Barbashev,STL,C,28,1995-12-14,RUS,73,195,2014,STL,2,3,33
Marcus Pettersson,PIT,D,27,1996-05-08,SWE,75,177,2014,ANA,2,8,38
Ryan MacInnis,BUF,C,28,1996-02-14,USA,75,201,2014,ARI,2,13,43
Nicolas Aube-Kubel,"COL, PHI",R,27,1996-05-10,CAN,72,207,2014,PHI,2,18,48
Brandon Montour,FLA,D,29,1994-04-11,CAN,72,194,2014,ANA,2,25,55
Ryan Donato,SEA,C,27,1996-04-09,USA,72,190,2014,BOS,2,26,56
Christian Dvorak,MTL,L,28,1996-02-02,USA,73,193,2014,ARI,2,28,58
Juho Lammikko,VAN,L,28,1996-01-29,FIN,74,191,2014,FLA,3,5,65
Warren Foegele,EDM,L,27,1996-04-01,CAN,74,198,2014,CAR,3,7,67
Brayden Point,T.B,C,28,1996-03-13,CAN,71,180,2014,T.B,3,19,79
Jake Walman,"DET, STL",D,28,1996-02-20,CAN,74,215,2014,STL,3,22,82
Mark Friedman,PIT,D,28,1995-12-25,CAN,71,185,2014,PHI,3,26,86
Michael Amadio,"TOR, VGK",C,27,1996-05-13,CAN,73,204,2014,L.A,3,30,90
William Lagesson,"EDM, MTL",D,28,1996-02-22,SWE,74,207,2014,EDM,4,1,91
Chase De Leo,N.J,C,28,1995-10-25,USA,69,185,2014,WPG,4,9,99
Devon Toews,COL,D,30,1994-02-21,CAN,73,191,2014,NYI,4,18,108
Austin Poganski,WPG,R,28,1996-02-16,USA,73,198,2014,STL,4,20,110
Viktor Arvidsson,L.A,L,30,1993-04-08,SWE,70,185,2014,NSH,4,22,112
Sam Lafferty,"CHI, PIT","C, R",29,1995-03-06,USA,73,195,2014,PIT,4,23,113
Danton Heinen,PIT,L,28,1995-07-05,CAN,73,188,2014,BOS,4,26,116
Michael Bunting,TOR,L,28,1995-09-17,CAN,72,192,2014,ARI,4,27,117
Max Willman,PHI,C,29,1995-02-13,USA,72,184,2014,BUF,5,1,121
Gustav Forsling,FLA,D,27,1996-06-12,SWE,72,186,2014,VAN,5,6,126
Clark Bishop,OTT,C,27,1996-03-29,CAN,73,197,2014,CAR,5,7,127
Dakota Joshua,STL,C,27,1996-05-15,USA,75,206,2014,TOR,5,8,128
CJ Suess,WPG,L,30,1994-03-17,USA,71,190,2014,WPG,5,9,129
Dysin Mayo,ARI,D,27,1996-08-17,CAN,74,183,2014,ARI,5,13,133
Oskar Lindblom,PHI,L,27,1996-08-15,SWE,73,191,2014,PHI,5,18,138
Anthony Angello,PIT,R,28,1996-03-06,USA,77,210,2014,PIT,5,25,145
Anders Bjork,BUF,L,27,1996-08-05,USA,72,190,2014,BOS,5,26,146
Kevin Labanc,S.J,R,28,1995-12-12,USA,71,185,2014,S.J,6,21,171
Sammy Blais,NYR,L,27,1996-06-17,CAN,74,206,2014,STL,6,26,176
Dylan Sikura,COL,C,28,1995-06-01,CAN,71,170,2014,CHI,6,28,178
Victor Olofsson,BUF,L,28,1995-07-18,SWE,71,181,2014,BUF,7,1,181
Pierre Engvall,TOR,L,27,1996-05-31,SWE,77,219,2014,TOR,7,8,188
Ondrej Kase,TOR,R,28,1995-11-08,CZE,72,187,2014,ANA,7,25,205
Jake Evans,MTL,C,27,1996-06-02,CAN,72,186,2014,MTL,7,27,207
Jacob Middleton,"MIN, S.J",D,28,1996-01-02,CAN,75,219,2014,L.A,7,30,210
Matthew Highmore,VAN,C,28,1996-02-27,CAN,71,188,-,-,-,-,-
Bokondji Imama,ARI,L,27,1996-08-03,CAN,73,221,2015,T.B,6,29,180
Hayden Hodgson,PHI,R,28,1996-03-02,CAN,74,208,-,-,-,-,-
Darren Raddysh,T.B,D,28,1996-02-28,CAN,73,200,-,-,-,-,-
Dryden Hunt,NYR,L,28,1995-11-24,CAN,72,193,-,-,-,-,-
Andrew Mangiapane,CGY,L,27,1996-04-04,CAN,70,184,2015,CGY,6,15,166
Vladimir Tkachev,L.A,L,28,1995-10-05,RUS,69,170,-,-,-,-,-
Frank Vatrano,"FLA, NYR",C,30,1994-03-14,USA,71,197,-,-,-,-,-
Noah Hanifin,CGY,D,27,1997-01-25,USA,75,207,2015,CAR,1,5,5
Rasmus Andersson,CGY,D,27,1996-10-27,SWE,73,202,2015,CGY,2,23,53
Kyle Connor,WPG,L,27,1996-12-09,USA,74,179,2015,WPG,1,17,17
Jonas Siegenthaler,N.J,D,26,1997-05-06,CHE,74,218,2015,WSH,2,27,57
Colin White,OTT,C,27,1997-01-30,USA,73,194,2015,OTT,1,21,21
Pavel Zacha,N.J,C,26,1997-04-06,CZE,76,199,2015,N.J,1,6,6
Connor McDavid,EDM,C,27,1997-01-13,CAN,73,193,2015,EDM,1,1,1
Jack Eichel,VGK,C,27,1996-10-28,USA,74,207,2015,BUF,1,2,2
Vince Dunn,SEA,D,27,1996-10-29,CAN,72,200,2015,STL,2,26,56
Travis Dermott,"TOR, VAN",D,27,1996-12-22,CAN,72,202,2015,TOR,2,4,34
Jordan Greenway,MIN,L,27,1997-02-16,USA,78,231,2015,MIN,2,20,50
Timo Meier,S.J,R,27,1996-10-08,CHE,73,220,2015,S.J,1,9,9
Jakub Zboril,BOS,D,27,1997-02-21,CZE,73,201,2015,BOS,1,13,13
Erik Cernak,T.B,D,26,1997-05-28,SVK,76,224,2015,L.A,2,13,43
Mikko Rantanen,COL,R,27,1996-10-29,FIN,76,215,2015,COL,1,10,10
A.J. Greer,N.J,L,27,1996-12-14,CAN,75,208,2015,COL,2,9,39
Jansen Harkins,WPG,C,26,1997-05-23,USA,73,182,2015,WPG,2,17,47
Brendan Guhle,ANA,D,26,1997-07-29,CAN,74,197,2015,BUF,2,21,51
Sebastian Aho,CAR,"C, R",26,1997-07-26,FIN,72,176,2015,CAR,2,5,35
Oliver Kylington,CGY,D,26,1997-05-19,SWE,72,183,2015,CGY,2,30,60
Evgeny Svechnikov,WPG,L,27,1996-10-31,RUS,75,208,2015,DET,1,19,19
Christian Fischer,ARI,R,26,1997-04-15,USA,74,212,2015,ARI,2,2,32
Keegan Kolesar,VGK,R,26,1997-04-08,CAN,74,217,2015,CBJ,3,8,69
Thomas Novak,NSH,C,26,1997-04-28,USA,73,179,2015,NSH,3,24,85
Travis Konecny,PHI,"C, R",27,1997-03-11,CAN,70,175,2015,PHI,1,24,24
Dylan Strome,CHI,C,27,1997-03-07,CAN,75,200,2015,ARI,1,3,3
Cooper Marody,EDM,C,27,1996-12-20,USA,72,184,2015,PHI,6,7,158
Brandon Carlo,BOS,D,27,1996-11-26,USA,78,218,2015,BOS,2,7,37
Brock Boeser,VAN,R,27,1997-02-25,USA,73,208,2015,VAN,1,23,23
Mathew Barzal,NYI,C,26,1997-05-26,CAN,73,190,2015,NYI,1,16,16
Glenn Gawdin,CGY,C,26,1997-03-25,CAN,73,191,2015,STL,4,25,116
Nick Merkley,S.J,R,26,1997-05-23,CAN,70,195,2015,ARI,1,30,30
Roope Hintz,DAL,"C, L",27,1996-11-17,FIN,75,215,2015,DAL,2,19,49
Ethan Bear,CAR,D,26,1997-06-26,CAN,71,197,2015,EDM,5,3,124
Caleb Jones,CHI,D,26,1997-06-06,USA,73,194,2015,EDM,4,26,117
Noah Juulsen,VAN,D,26,1997-04-02,CAN,74,201,2015,MTL,1,26,26
Jack Roslovic,CBJ,C,27,1997-01-29,USA,73,200,2015,WPG,1,25,25
Zach Werenski,CBJ,D,26,1997-07-19,USA,74,213,2015,CBJ,1,8,8
Nicolas Roy,VGK,C,27,1997-02-05,CAN,76,202,2015,CAR,4,5,96
Anthony Beauvillier,NYI,L,26,1997-06-08,CAN,71,180,2015,NYI,1,28,28
Guillaume Brisebois,VAN,D,26,1997-07-21,CAN,74,175,2015,VAN,3,5,66
Daniel Sprong,"SEA, WSH",R,27,1997-03-17,NLD,72,202,2015,PIT,2,16,46
Nicolas Meloche,S.J,D,26,1997-07-18,CAN,75,203,2015,COL,2,10,40
Jeremy Lauzon,"NSH, SEA",D,26,1997-04-28,CAN,73,204,2015,BOS,2,22,52
Thomas Chabot,OTT,D,27,1997-01-30,CAN,74,195,2015,OTT,1,18,18
Mathieu Joseph,"OTT, T.B",R,27,1997-02-09,CAN,73,187,2015,T.B,4,29,120
Lawson Crouse,ARI,L,26,1997-06-23,CAN,76,215,2015,FLA,1,11,11
Kyle Capobianco,ARI,D,26,1997-08-13,CAN,74,201,2015,ARI,3,2,63
Mitchell Stephens,DET,C,27,1997-02-05,CAN,71,190,2015,T.B,2,3,33
Blake Speers,ARI,C,27,1997-01-02,CAN,71,185,2015,N.J,3,6,67
Mitchell Marner,TOR,"C, R",26,1997-05-05,CAN,72,181,2015,TOR,1,4,4
Zach Senyshyn,OTT,R,26,1997-03-30,CAN,73,205,2015,BOS,1,15,15
Chase Pearson,DET,C,26,1997-08-23,CAN,75,202,2015,DET,5,19,140
Jacob Larsson,ANA,D,26,1997-04-29,SWE,74,193,2015,ANA,1,27,27
Joel Eriksson Ek,MIN,C,27,1997-01-29,SWE,75,207,2015,MIN,1,20,20
Denis Gurianov,DAL,R,26,1997-06-07,RUS,75,205,2015,DAL,1,12,12
Jake DeBrusk,BOS,L,27,1996-10-17,CAN,72,197,2015,BOS,1,14,14
Ivan Provorov,PHI,D,27,1997-01-13,RUS,73,201,2015,PHI,1,7,7
Gabriel Carlsson,CBJ,D,27,1997-01-02,SWE,77,195,2015,CBJ,1,29,29
John Marino,PIT,D,26,1997-05-21,USA,73,181,2015,EDM,6,3,154
Yakov Trenin,NSH,C,27,1997-01-13,RUS,74,201,2015,NSH,2,25,55
Austin Czarnik,"NYI, SEA",C,31,1992-12-12,USA,69,170,-,-,-,-,-
Anthony Cirelli,T.B,C,26,1997-07-15,CAN,72,189,2015,T.B,3,11,72
Tanner Kero,DAL,C,31,1992-07-24,USA,72,185,-,-,-,-,-
Evan Rodrigues,PIT,C,30,1993-07-28,CAN,71,184,-,-,-,-,-
Artemi Panarin,NYR,L,32,1991-10-30,RUS,72,173,-,-,-,-,-
Dean Kukan,CBJ,D,30,1993-07-08,CHE,74,190,-,-,-,-,-
Noel Acciari,FLA,C,32,1991-12-01,USA,70,209,-,-,-,-,-
Derek Ryan,EDM,C,37,1986-12-29,USA,70,185,-,-,-,-,-
Kevin Stenlund,CBJ,C,27,1996-09-20,SWE,77,215,2015,CBJ,2,28,58
Lukas Vejdemo,MTL,C,28,1996-01-25,SWE,73,198,2015,MTL,3,26,87
Will Borgen,SEA,D,27,1996-12-19,USA,75,204,2015,BUF,4,1,92
Colton White,N.J,D,26,1997-05-03,CAN,73,187,2015,N.J,4,6,97
Christian Wolanin,"BUF, L.A",D,29,1995-03-17,CAN,74,190,2015,OTT,4,16,107
Alexandre Carrier,NSH,D,27,1996-10-08,CAN,71,174,2015,NSH,4,24,115
Conor Garland,VAN,R,28,1996-03-11,USA,70,165,2015,ARI,5,2,123
Niko Mikkola,STL,D,27,1996-04-27,FIN,76,209,2015,STL,5,6,127
Kirill Kaprizov,MIN,L,26,1997-04-26,RUS,70,202,2015,MIN,5,14,135
Dominik Simon,"ANA, PIT",C,29,1994-08-08,CZE,71,190,2015,PIT,5,16,137
Christian Jaros,N.J,D,27,1996-04-02,SVK,75,222,2015,OTT,5,18,139
Rudolfs Balcers,S.J,L,26,1997-04-08,LVA,71,182,2015,S.J,5,21,142
Troy Terry,ANA,"C, R",26,1997-09-10,USA,72,185,2015,ANA,5,27,148
Adam Gaudette,"CHI, OTT",C,27,1996-10-03,USA,73,194,2015,VAN,5,28,149
Brett Seney,TOR,L,28,1996-02-28,CAN,69,156,2015,N.J,6,6,157
Vladislav Gavrikov,CBJ,D,28,1995-11-21,RUS,75,221,2015,CBJ,6,8,159
Mason Appleton,"SEA, WPG",C,28,1996-01-15,USA,75,197,2015,WPG,6,17,168
Steven Lorentz,CAR,C,27,1996-04-13,CAN,76,206,2015,CAR,7,5,186
Markus Nutivaara,FLA,D,29,1994-06-06,FIN,73,187,2015,CBJ,7,8,189
Matt Roy,L.A,D,29,1995-03-01,USA,73,205,2015,L.A,7,13,194
Sami Niku,MTL,D,27,1996-10-10,FIN,73,176,2015,WPG,7,17,198
Kole Sherwood,NSH,R,27,1997-01-22,USA,73,212,-,-,-,-,-
Lane Pederson,S.J,C,26,1997-08-04,CAN,72,192,-,-,-,-,-
Jalen Chatfield,CAR,D,27,1996-05-15,USA,73,188,-,-,-,-,-
Mason Marchment,FLA,L,28,1995-06-18,CAN,76,210,-,-,-,-,-
Adam Brooks,"MTL, VGK, WPG",C,27,1996-05-06,CAN,72,179,2016,TOR,4,1,92
Philippe Myers,NSH,D,27,1997-01-25,CAN,78,219,-,-,-,-,-
Ryan Lomberg,FLA,L,29,1994-09-12,CAN,69,187,-,-,-,-,-
Andrew Poturalski,CAR,C,30,1994-01-14,USA,70,183,-,-,-,-,-
Dan Renouf,DET,D,29,1994-06-01,CAN,73,198,-,-,-,-,-
Ethan Prow,BUF,D,31,1992-11-17,USA,71,182,-,-,-,-,-
Kevin Rooney,NYR,C,30,1993-05-21,USA,74,190,-,-,-,-,-
Brandon Tanev,SEA,L,32,1991-12-31,CAN,72,189,-,-,-,-,-
Kyle Criscuolo,DET,C,31,1992-05-05,USA,69,175,-,-,-,-,-
Matthew Tkachuk,CGY,L,26,1997-12-11,USA,74,201,2016,CGY,1,6,6
Joey Anderson,TOR,R,25,1998-06-19,USA,72,207,2016,N.J,3,12,73
Luke Kunin,NSH,C,26,1997-12-04,USA,72,197,2016,MIN,1,15,15
Auston Matthews,TOR,C,26,1997-09-17,USA,75,208,2016,TOR,1,1,1
Maxime Lajoie,CAR,D,26,1997-11-05,CAN,73,196,2016,OTT,5,12,133
Lucas Johansen,WSH,D,26,1997-11-16,CAN,74,176,2016,WSH,1,28,28
Wade Allison,PHI,R,26,1997-10-14,CAN,74,205,2016,PHI,2,22,52
Adam Fox,NYR,D,26,1998-02-17,USA,71,182,2016,CGY,3,5,66
Ryan Lindgren,NYR,D,26,1998-02-11,USA,72,190,2016,BOS,2,19,49
Charlie McAvoy,BOS,D,26,1997-12-21,USA,73,209,2016,BOS,1,14,14
